"YEAR";"P_KIA_NEW";"P_MOSHI_NEW";"P_KIA_OLD";"P_MOSHI_OLD";"P_MEAN_NEW";"P_MEAN_OLD"
"1992-12-01";"34.3";"52.4";"34.3";"52.4";"43.35";"43.35"
"1993-01-01";"118.1";"111.1";"118.1";"111.1";"114.6";"114.6"
"1993-02-01";"43.5";"54.7";"43.5";"54.7";"49.1";"49.1"
"1993-03-01";5;"73.5";5;"73.5";"39.25";"39.25"
"1993-04-01";"50.5";"46.6";"50.5";"46.6";"48.55";"48.55"
"1993-05-01";"47.1";"103.6";"47.1";"103.6";"75.35";"75.35"
"1993-06-01";"1.7";"5.8";"1.7";"5.8";"3.75";"3.75"
"1993-07-01";3;"8.2";3;"8.2";"5.6";"5.6"
"1993-08-01";"7.6";"12.5";"7.6";"12.5";"10.05";"10.05"
"1993-09-01";0;0;0;0;0;0
"1993-10-01";"13.3";35;"13.3";35;"24.15";"24.15"
"1993-11-01";"10.7";"45.2";"10.7";"45.2";"27.95";"27.95"
"1993-12-01";"19.2";"32.2";"19.2";"32.2";"25.7";"25.7"
"1994-01-01";"2.7";"4.7";"2.7";"4.7";"3.7";"3.7"
"1994-02-01";"63.9";"41.9";"63.9";"41.9";"52.9";"52.9"
"1994-03-01";"66.7";"124.8";"66.7";"124.8";"95.75";"95.75"
"1994-04-01";"79.4";"174.4";"79.4";"174.4";"126.9";"126.9"
"1994-05-01";"68.2";"178.3";"68.2";"178.3";"123.25";"123.25"
"1994-06-01";"0.8";"8.9";"0.8";"8.9";"4.85";"4.85"
"1994-07-01";"12.6";"13.6";"12.6";"13.6";"13.1";"13.1"
"1994-08-01";0;"2.7";0;"2.7";"1.35";"1.35"
"1994-09-01";"1.1";"2.7";"1.1";"2.7";"1.9";"1.9"
"1994-10-01";"4.3";"70.8";"4.3";"70.8";"37.55";"37.55"
"1994-11-01";"27.3";"27.5";"27.3";"27.5";"27.4";"27.4"
"1994-12-01";39;"68.4";39;"68.4";"53.7";"53.7"
"1995-01-01";31;"11.1";31;"11.1";"21.05";"21.05"
"1995-02-01";"70.6";"38.8";"70.6";"38.8";"54.7";"54.7"
"1995-03-01";"30.2";"71.9";"30.2";"71.9";"51.05";"51.05"
"1995-04-01";"203.2";508;"203.2";508;"355.6";"355.6"
"1995-05-01";107;"210.9";107;"210.9";"158.95";"158.95"
"1995-06-01";0;"4.1";0;"4.1";"2.05";"2.05"
"1995-07-01";"1.1";"6.4";"1.1";"6.4";"3.75";"3.75"
"1995-08-01";"7.5";"17.7";"7.5";"17.7";"12.6";"12.6"
"1995-09-01";3;"1.8";3;"1.8";"2.4";"2.4"
"1995-10-01";"19.5";"34.4";"19.5";"34.4";"26.95";"26.95"
"1995-11-01";0;"9.5";0;"9.5";"4.75";"4.75"
"1995-12-01";"57.8";"47.5";"57.8";"47.5";"52.65";"52.65"
"1996-01-01";"29.3";"12.9";"29.3";"12.9";"21.1";"21.1"
"1996-02-01";"77.3";"76.7";"77.3";"76.7";77;77
"1996-03-01";"82.4";"51.6";"82.4";"51.6";67;67
"1996-04-01";"83.9";"218.1";"83.9";"218.1";151;151
"1996-05-01";"80.5";"194.6";"80.5";"194.6";"137.55";"137.55"
"1996-06-01";0;"6.5";0;"6.5";"3.25";"3.25"
"1996-07-01";"4.2";"8.4";"4.2";"8.4";"6.3";"6.3"
"1996-08-01";0;"1.7";0;"1.7";"0.85";"0.85"
"1996-09-01";0;5;0;5;"2.5";"2.5"
"1996-10-01";"0.8";"5.8";"0.8";"5.8";"3.3";"3.3"
"1996-11-01";"16.1";"18.9";"16.1";"18.9";"17.5";"17.5"
"1996-12-01";"4.3";0;"4.3";0;"2.15";"2.15"
"1997-01-01";"4.2";0;"4.2";0;"2.1";"2.1"
"1997-02-01";0;"12.6";0;"12.6";"6.3";"6.3"
"1997-03-01";"58.1";"126.9";"58.1";"126.9";"92.5";"92.5"
"1997-04-01";"330.5";374;"330.5";374;"352.25";"352.25"
"1997-05-01";"201.2";"182.2";"201.2";"182.2";"191.7";"191.7"
"1997-06-01";"32.5";"18.6";"32.5";"18.6";"25.55";"25.55"
"1997-07-01";"11.1";"14.7";"11.1";"14.7";"12.9";"12.9"
"1997-08-01";0;"0.6";0;"0.6";"0.3";"0.3"
"1997-09-01";0;1;0;1;"0.5";"0.5"
"1997-10-01";"52.9";"130.5";"52.9";"130.5";"91.7";"91.7"
"1997-11-01";"73.5";"107.2";"73.5";"107.2";"90.35";"90.35"
"1997-12-01";"119.9";"65.7";"119.9";"65.7";"92.8";"92.8"
"1998-01-01";"125.3";"287.2";"125.3";"287.2";"206.25";"206.25"
"1998-02-01";"165.7";"151.2";"165.7";"151.2";"158.45";"158.45"
"1998-03-01";"29.6";"44.4";"29.6";"44.4";37;37
"1998-04-01";"264.9";422;"264.9";422;"343.45";"343.45"
"1998-05-01";"56.2";"117.8";"56.2";"117.8";87;87
"1998-06-01";"5.9";"10.4";"5.9";"10.4";"8.15";"8.15"
"1998-07-01";"5.1";"25.4";"5.1";"25.4";"15.25";"15.25"
"1998-08-01";"0.3";1;"0.3";1;"0.65";"0.65"
"1998-09-01";"0.8";"4.8";"0.8";"4.8";"2.8";"2.8"
"1998-10-01";"1.2";"15.2";"1.2";"15.2";"8.2";"8.2"
"1998-11-01";"1.3";"28.5";"1.3";"28.5";"14.9";"14.9"
"1998-12-01";"0.2";"6.7";"0.2";"6.7";"3.45";"3.45"
"1999-01-01";3;"20.8";3;"20.8";"11.9";"11.9"
"1999-02-01";"0.8";"0.6";"0.8";"0.6";"0.7";"0.7"
"1999-03-01";"253.7";"258.9";"253.7";"258.9";"256.3";"256.3"
"1999-04-01";"170.3";"367.6";"170.3";"367.6";"268.95";"268.95"
"1999-05-01";"106.4";92;"106.4";92;"99.2";"99.2"
"1999-06-01";"50.1";"69.1";"50.1";"69.1";"59.6";"59.6"
"1999-07-01";"11.1";"14.8";"11.1";"14.8";"12.95";"12.95"
"1999-08-01";"8.1";"27.1";"8.1";"27.1";"17.6";"17.6"
"1999-09-01";"5.8";"11.6";"5.8";"11.6";"8.7";"8.7"
"1999-10-01";"1.6";"1.7";"1.6";"1.7";"1.65";"1.65"
"1999-11-01";"37.3";"68.4";"37.3";"68.4";"52.85";"52.85"
"1999-12-01";"4.2";"23.1";"4.2";"23.1";"13.65";"13.65"
"2000-01-01";10;"1.4";10;"1.4";"5.7";"5.7"
"2000-02-01";"3.1";2;"3.1";2;"2.55";"2.55"
"2000-03-01";"66.5";"121.6";"66.5";"121.6";"94.05";"94.05"
"2000-04-01";"47.6";"117.8";"47.6";"117.8";"82.7";"82.7"
"2000-05-01";"40.1";"54.1";"40.1";"54.1";"47.1";"47.1"
"2000-06-01";"22.2";27;"22.2";27;"24.6";"24.6"
"2000-07-01";"4.2";"4.4";"4.2";"4.4";"4.3";"4.3"
"2000-08-01";"15.9";"15.5";"15.9";"15.5";"15.7";"15.7"
"2000-09-01";"11.5";2;"11.5";2;"6.75";"6.75"
"2000-10-01";"1.1";6;"1.1";6;"3.55";"3.55"
"2000-11-01";"123.3";"17.5";"123.3";"17.5";"70.4";"70.4"
"2000-12-01";"30.7";"28.4";"30.7";"28.4";"29.55";"29.55"
"2001-01-01";"107.4";"136.4";"107.4";"136.4";"121.9";"121.9"
"2001-02-01";"45.6";"30.1";"45.6";"30.1";"37.85";"37.85"
"2001-03-01";"169.9";"182.9";"169.9";"182.9";"176.4";"176.4"
"2001-04-01";"107.2";294;"107.2";294;"200.6";"200.6"
"2001-05-01";"31.4";"145.4";"31.4";"145.4";"88.4";"88.4"
