"Datetime","Timezone","Aggregationtime","PlotId","EpPlotId","StationId","Processlevel","Qualityflag","TEMP","MAX","MIN"
1973-05-08 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,19.0166666666667,24.6666666666667,14.5
1973-05-09 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,17,24,15
1973-05-10 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,18.9875,24.875,13.5
1973-05-11 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,19,21,16
1973-05-12 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,18.4,25,15
1973-05-13 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,18.875,25.5,12.5
1973-05-14 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,18.6,26,9
1973-05-15 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,19.2,25,12
1973-05-16 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,18.2,27,11
1973-05-17 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,20.2,28,12
1973-05-18 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,20.4,28,10
1973-05-19 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,19.8,29,14
1973-05-20 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,19.5375,25.875,11.625
1973-05-21 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,19.4125,26.125,11.75
1973-05-22 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,18.2,23,10
1973-05-23 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,19.8,23,13
1973-05-24 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,19.1333333333333,25.3333333333333,12.3333333333333
1973-05-25 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,20.5,24,11
1973-05-26 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,18.2,27,13
1973-05-27 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,18.7875,24.125,12.625
1973-05-28 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,18.3,26,13
1973-05-29 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,18.7166666666667,24.5,13
1973-05-30 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,18.4,24,14
1973-05-31 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,18.4,25,12
1973-06-01 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,18.5,21,15
1973-06-02 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,18.3285714285714,24.4285714285714,13.4285714285714
1973-06-03 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,18.3333333333333,24.1666666666667,13.5
1973-06-04 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,17.3,23,14
1973-06-05 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,18.32,24.2,13.4
1973-06-06 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,18,22,13
1973-06-07 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,19.4,30,13
1973-06-08 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,18.22,24.2,12.2
1973-06-09 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,18.0833333333333,24,12.6666666666667
1973-06-10 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,18.24,24.2,12.4
1973-06-11 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,17.8,23,11
1973-06-12 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,18.0833333333333,24.3333333333333,12.5
1973-06-13 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,18.6,23,10
1973-06-14 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,17.4,23,15
1973-06-15 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,17.9125,23.25,12.5
1973-06-16 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,18,23,12
1973-06-17 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,17.3,24,14
1973-06-18 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,16.5,23,10
1973-06-19 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,19,24,13
1973-06-20 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,18.7,23,15
1973-06-21 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,17,24,10
1973-06-22 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,17.31,23.6,11.7
1973-06-23 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,16.8,21,14
1973-06-24 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,19.2,30,12
1973-06-25 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,16.3,22,9
1973-06-26 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,16.3,22,11
1973-06-27 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,16,23,9
1973-06-28 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,14.2,23,9
1973-06-29 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,16.6,25,7
1973-06-30 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,17,24,13
1973-07-01 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,16.7375,24.875,9.25
1973-07-02 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,16.8,25.2857142857143,9
